SAT,GPA
80,2.4
30,2.52
126,2.54
51,2.74
59,2.83
36,2.91
130,3
130,3
158,3.01
216,3.01
101,3.02
141,3.07
101,3.08
78,3.08
139,3.12
238,3.17
121,3.17
40,3.17
208,3.17
152,3.19
127,3.19
88,3.19
29,3.2
53,3.21
340,3.24
192,3.28
153,3.28
187,3.28
386,3.28
160,3.28
135,3.28
300,3.28
141,3.29
221,3.29
246,3.29
215,3.31
174,3.32
320,3.34
143,3.37
197,3.37
231,3.37
216,3.38
332,3.38
68,3.39
356,3.39
291,3.4
190,3.4
322,3.4
223,3.41
345,3.41
168,3.41
221,3.42
273,3.42
0,3.42
245,3.44
253,3.47
96,3.47
319,3.47
147,3.47
257,3.48
330,3.49
174,3.49
259,3.5
407,3.51
259,3.51
198,3.52
216,3.52
300,3.54
227,3.58
297,3.58
299,3.59
144,3.59
341,3.6
300,3.6
387,3.61
381,3.62
363,3.64
386,3.65
209,3.71
302,3.71
176,3.71
353,3.73
328,3.76
416,3.81
